Source	Target	Weight
Ningbo	Taizhou	15.669925
Jiaxing	Taizhou	1.987594
Taizhou	Suzhou	2.016955
Taizhou	Yancheng	10.848778
Suzhou	Taizhou	8.131071
Yancheng	Taizhou	10.611504
Wenzhou	Jinhua	4.271128
Wenzhou	Shaoxing	1.650489
Jinhua	Wenzhou	6.058835
Suzhou	Wenzhou	1.199812
Shaoxing	Wenzhou	2.045996
Wuhan	Changsha	1.283722
Wuhan	Wenzhou	0.52782
Changsha	Wuhan	1.541579
Shenzhen	Wuhan	0.890827
Wulumuqi	Aqsu	12.83453
Aqsu	Wulumuqi	2.89079
Chongqing	Wulumuqi	0.554774
Xi'an	Wulumuqi	0.805207
Chengdu	Wulumuqi	0.860338
Beijing	Wulumuqi	0.923233
Lanzhou	Wulumuqi	0.645432
Shanghai	Wulumuqi	0.584474
Wuxi	Jinhua	0.608101
Wuxi	Suzhou	12.159154
Wuxi	Shaoxing	0.63703
Wuxi	Yancheng	6.21874
Wuxi	Wenzhou	0.630789
Wuxi	Taizhou	9.349681
Wuxi	Hangzhou	0.824586
Suzhou	Wuxi	21.054699
Yancheng	Wuxi	3.205301
Taizhou	Wuxi	4.38282
Hangzhou	Wuxi	1.692876
Xi'an	Aqsu	0.529981
Xi'an	Chongqing	0.897669
Xi'an	Zhengzhou	0.695902
Xi'an	Nanyang	1.607011
Xi'an	Lanzhou	2.63141
Xi'an	Sanmenxia	5.401898
Chongqing	Xi'an	0.613045
Zhengzhou	Xi'an	0.68047
Lanzhou	Xi'an	0.727763
Shanghai	Xi'an	0.621692
Ya'an	Chengdu	3.355508
Chongqing	Ya'an	2.081748
Luzhou	Ya'an	0.554737
Chengdu	Ya'an	53.708591
Yancheng	Suzhou	2.829662
Suzhou	Yancheng	10.121335
Yangzhou	Suzhou	1.131786
Yangzhou	Yancheng	3.044944
Yangzhou	Taizhou	13.472707
Yangzhou	Wuxi	1.482613
Suzhou	Yangzhou	5.02265
Yancheng	Yangzhou	3.524229
Taizhou	Yangzhou	15.290169
Hangzhou	Yangzhou	0.958064
Wuxi	Yangzhou	3.568139
Yulin	Shenzhen	0.51547
Shenzhen	Yulin	3.885113
Guangzhou	Yulin	3.774718
Zhengzhou	Wuhan	0.698534
Zhengzhou	Tianjin	0.565752
Zhengzhou	Nanyang	18.717106
Zhengzhou	Linyi	0.501165
Zhengzhou	Shanghai	0.567425
Zhengzhou	Sanmenxia	16.30389
Wuhan	Zhengzhou	0.549868
Nanyang	Zhengzhou	4.162162
Shanghai	Zhengzhou	0.762951
Sanmenxia	Zhengzhou	1.431222
Zhongshan	Yulin	1.724887
Zhongshan	Shenzhen	1.745526
Zhongshan	Luzhou	0.911034
Zhongshan	Meizhou	1.560733
Zhongshan	Guangzhou	3.383816
Zhongshan	Ji'an	0.686861
Zhongshan	Nanning	0.841917
Zhongshan	Foshan	7.879192
Yulin	Zhongshan	0.680414
Shenzhen	Zhongshan	4.05376
Guangzhou	Zhongshan	10.922124
Nanning	Zhongshan	0.603684
Foshan	Zhongshan	15.382989
Zhoushan	Shaoxing	0.573929
Zhoushan	Wenzhou	0.598835
Zhoushan	Hangzhou	0.76
Zhoushan	Ningbo	5.478872
Zhoushan	Taizhou	1.207444
Zhoushan	Shanghai	1.625583
Jinhua	Zhoushan	1.593571
Suzhou	Zhoushan	2.044116
Shaoxing	Zhoushan	2.053553
Wenzhou	Zhoushan	2.004549
Taizhou	Zhoushan	0.528722
Hangzhou	Zhoushan	9.582726
Wuxi	Zhoushan	0.758741
Ningbo	Zhoushan	30.441635
Jiaxing	Zhoushan	2.345301
Taizhou	Zhoushan	2.972444
Nantong	Zhoushan	1.319643
Nanjing	Zhoushan	0.928083
Shanghai	Zhoushan	18.092649
