all	kl64	kl47	product
534	5	4	RadC family protein
535	3	1	Non-coding region
536	1	6	protein translocase subunit SecF
537	6	1	protein translocase subunit SecD
538	4	3	Non-coding region
539	1	2	preprotein translocase subunit YajC
540	3	5	LemA family protein
541	3	5	hypothetical protein
542	2	4	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
543	2	3	Non-coding region
544	2	1	tyrosine recombinase XerC
545	4	5	hypothetical protein
546	9	7	putative phage abortive infection protein
547	1	3	Non-coding region
548	5	4	hypothetical protein
549	6	8	sensor histidine kinase
550	1	2	Non-coding region
551	7	1	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
552	3	1	Non-coding region
553	2	6	branched-chain amino acid transaminase
554	5	5	mitochondrial fission ELM1 family protein
555	5	2	glycosyltransferase family protein
556	2	4	polysaccharide deacetylase family protein
557	5	1	glycosyltransferase family 2 protein
558	2	3	glycosyltransferase
559	4	0	glycosyl hydrolase Ghy
560	4	4	glycosyltransferase family 25 protein
561	2	5	lipooligosaccharide outer core biosynthesis glycosyltransferase GtrOC6
562	6	5	hypothetical protein
563	2	5	aspartate--tRNA ligase
564	0	2	Non-coding region
565	10	5	DUF4184 family protein
566	2	3	zinc piracy TonB-dependent receptor ZnuD
567	2	1	Non-coding region
568	2	3	phospholipase D family protein
569	1	0	Non-coding region
570	3	5	hypothetical protein
571	1	3	phosphate-starvation-inducible protein PsiE
572	6	1	Non-coding region
573	0	2	acyl-CoA dehydrogenase C-terminal domain-containing protein
574	3	5	Non-coding region
575	1	8	hypothetical protein
576	1	2	sensor histidine kinase efflux regulator BaeS
577	2	8	Non-coding region
578	1	2	response regulator
579	4	7	Non-coding region
580	2	3	acyl-CoA desaturase
581	1	1	META domain-containing protein
582	1	2	glycerophosphodiester phosphodiesterase
583	8	4	cob(I)yrinic acid a%2Cc-diamide adenosyltransferase
584	4	5	Non-coding region
585	4	7	Non-coding region
586	6	6	phosphoribosylanthranilate isomerase
587	0	2	DUF1543 domain-containing protein
588	3	2	DUF2804 domain-containing protein
589	3	7	metal-dependent hydrolase
590	3	2	AraC family transcriptional regulator
591	3	8	tryptophan synthase subunit alpha
592	5	10	acetyl-CoA carboxylase%2C carboxyltransferase subunit beta
593	2	1	bifunctional tetrahydrofolate synthase/dihydrofolate synthase
594	5	2	SPOR domain-containing protein
595	3	7	dual specificity protein phosphatase family protein
596	2	4	MBL fold metallo-hydrolase
597	8	13	peroxiredoxin
598	6	3	preprotein translocase subunit SecA
599	4	2	Non-coding region
600	6	3	Non-coding region
601	5	5	hypothetical protein
602	11	13	Non-coding region
603	4	5	PAQR family membrane homeostasis protein TrhA
604	5	2	class I SAM-dependent methyltransferase
605	1	3	GNAT family N-acetyltransferase
606	3	6	hypothetical protein
607	2	1	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
608	2	3	Non-coding region
609	3	10	acetyl-CoA C-acetyltransferase
610	33	34	AraC family transcriptional regulator
611	3	6	CaiB/BaiF CoA transferase family protein
612	3	1	Non-coding region
613	2	18	carbohydrate porin
614	1	3	glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase
615	5	3	Non-coding region
616	2	7	Non-coding region
617	2	3	nitrite/sulfite reductase
618	6	4	DUF934 domain-containing protein
619	6	10	DMT family transporter
620	6	14	thiolase family protein
621	11	33	GspH/FimT family pseudopilin
622	7	4	outer membrane protein Omp38
623	0	3	hypothetical protein
624	4	4	Non-coding region
625	5	3	amino acid permease
626	4	3	methyltransferase
627	7	5	uracil-xanthine permease family protein
628	1	3	Non-coding region
629	1	4	translational GTPase TypA
630	3	5	Non-coding region
631	3	2	large conductance mechanosensitive channel protein MscL
632	13	3	gamma-glutamylcyclotransferase family protein
633	13	1	DNA-3-methyladenine glycosylase
634	12	3	TonB-dependent receptor family protein
635	39	5	Non-coding region
636	24	4	NADH:flavin oxidoreductase/NADH oxidase
637	28	5	AEC family transporter
638	63	2	tetratricopeptide repeat protein
639	29	20	DsbC family protein
640	8	7	CAF17-like 4Fe-4S cluster assembly/insertion protein YgfZ
641	20	6	SRPBCC family protein
642	15	3	zinc ribbon domain-containing protein YjdM
643	15	9	proline--tRNA ligase
644	11	2	Non-coding region
645	17	6	efflux RND transporter permease subunit
646	13	3	Non-coding region
647	9	2	Non-coding region
648	6	4	efflux RND transporter periplasmic adaptor subunit
649	5	3	hypothetical protein
650	2	5	twitching motility response regulator PilG
651	6	3	chemotaxis protein CheW
652	11	8	Non-coding region
653	12	1	Non-coding region
654	21	4	Hpt domain-containing protein
655	19	18	Non-coding region
656	17	6	Non-coding region
657	9	9	Non-coding region
658	16	4	hypothetical protein
659	8	4	succinyl-diaminopimelate desuccinylase
660	7	5	entericidin A/B family lipoprotein
661	7	8	YbaN family protein
662	3	7	cell wall-recycling L%2CD-carboxypeptidase ElsL
663	13	8	YdcF family protein
664	4	7	PepSY domain-containing protein
665	5	2	Non-coding region
666	15	5	Non-coding region
667	14	7	SdpI family protein
668	9	5	Non-coding region
669	10	6	Non-coding region
670	16	6	multidrug effflux MFS transporter
671	7	4	nitroreductase
672	9	0	hypothetical protein
673	5	6	hypothetical protein
674	6	3	patatin-like phospholipase family protein
675	4	0	Non-coding region
676	6	3	threonine ammonia-lyase
677	13	2	peptide antibiotic transporter SbmA
678	6	2	Non-coding region
679	6	3	M13 family metallopeptidase
680	12	4	Non-coding region
681	12	8	DUF4850 domain-containing protein
682	10	2	DUF1176 domain-containing protein
683	12	5	hypothetical protein
684	14	4	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
685	8	3	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
686	7	0	Non-coding region
687	8	5	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
688	9	2	Non-coding region
689	8	2	rod shape-determining protein MreC
690	5	3	Maf-like protein
691	5	3	ribonuclease G
692	11	1	PA1571 family protein
693	7	4	Non-coding region
694	24	4	phosphoadenylyl-sulfate reductase
695	6	4	bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH
696	10	4	Non-coding region
697	8	3	Non-coding region
698	6	5	NAD(P)H-dependent oxidoreductase
699	9	4	fatty acid desaturase family protein
700	11	3	Non-coding region
701	12	3	PaaX family transcriptional regulator C-terminal domain-containing protein
702	0	3	undecaprenyl-diphosphate phosphatase
703	13	7	AraC family transcriptional regulator
704	4	3	NAD(P)H-quinone oxidoreductase
705	14	6	glyoxalase III HchA
706	7	8	amino acid permease
707	11	3	Non-coding region
708	2	5	2-methylaconitate cis-trans isomerase PrpF
709	8	9	polyprenyl synthetase family protein
710	7	5	MmcQ/YjbR family DNA-binding protein
711	12	2	NfeD family protein
712	4	2	patatin-like phospholipase family protein
713	8	2	lysophospholipid acyltransferase family protein
714	5	2	MFS transporter
715	7	6	DcaP family trimeric outer membrane transporter
716	8	4	Non-coding region
717	6	10	phosphoethanolamine transferase
718	12	4	Non-coding region
719	4	5	response regulator transcription factor
720	8	3	Non-coding region
721	13	10	phosphatase PAP2 family protein
722	4	5	Non-coding region
723	9	5	LysR family transcriptional regulator
724	7	4	AEC family transporter
725	7	3	hypothetical protein
726	7	7	methyltransferase domain-containing protein
727	9	7	valine--tRNA ligase
728	9	8	Non-coding region
729	15	7	Non-coding region
730	6	3	hypothetical protein
731	9	6	nuclear transport factor 2 family protein
732	6	4	YbjQ family protein
733	5	3	multidrug efflux RND transporter outer membrane channel subunit AdeK
734	12	4	multidrug efflux RND transporter permease subunit AdeJ
735	5	6	Non-coding region
736	19	8	Non-coding region
737	14	8	multidrug efflux RND transporter periplasmic adaptor subunit AdeI
738	11	6	Non-coding region
739	9	4	phosphatase PAP2 family protein
740	15	2	Non-coding region
741	3	4	All-trans-nonaprenyl-diphosphate synthase
742	2	4	Non-coding region
743	111	164	hypothetical protein
744	5	2	outer membrane lipoprotein chaperone LolA
745	5	4	RsiV family protein
746	3	0	Non-coding region
747	3	3	siroheme synthase CysG
748	8	4	tRNA (cytidine(34)-2'-O)-methyltransferase
749	4	4	winged helix-turn-helix transcriptional regulator
750	8	8	APC family permease
751	6	7	Non-coding region
752	5	4	iron-containing alcohol dehydrogenase
753	5	3	hypothetical protein
